datum;km_stand_start;km_stand_ende;kategorie;ziel;zweck;geschaeftspartner
2026-08-16;54379;54589;privat;;;
2026-08-17;54589;54629;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-08-20;54629;54704;privat;;;
2026-08-21;54704;54737;privat;;;
2026-08-22;54737;55217;privat;;;
2026-08-25;55217;55307;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-08-29;55307;55331;privat;;;
2026-08-30;55331;55393;privat;;;
2026-09-01;55393;55603;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-09-03;55603;55698;privat;;;
2026-09-06;55698;55753;privat;;;
2026-09-08;55753;55798;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-09-10;55798;55826;privat;;;
2026-09-13;55826;55966;privat;;;
2026-09-14;55966;56226;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-09-18;56226;56238;privat;;;
2026-09-20;56238;56558;privat;;;
2026-09-23;56558;56618;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-09-25;56618;56664;privat;;;
2026-09-26;56664;56682;privat;;;
2026-09-28;56682;56872;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-10-01;56872;57082;privat;;;
2026-10-04;57082;57157;privat;;;
2026-10-05;57157;57397;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-10-08;57397;57430;privat;;;
2026-10-09;57430;57910;privat;;;
2026-10-11;57910;57934;privat;;;
2026-10-14;57934;57974;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-10-15;57974;58036;privat;;;
2026-10-16;58036;58131;privat;;;
2026-10-17;58131;58186;privat;;;
2026-10-20;58186;58276;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-10-22;58276;58304;privat;;;
2026-10-23;58304;58444;privat;;;
2026-10-27;58444;58654;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-10-29;58654;58666;privat;;;
2026-10-31;58666;58986;privat;;;
2026-11-01;58986;59032;privat;;;
2026-11-03;59032;59077;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-11-05;59077;59095;privat;;;
2026-11-06;59095;59305;privat;;;
2026-11-08;59305;59380;privat;;;
2026-11-11;59380;59640;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-11-12;59640;59673;privat;;;
2026-11-13;59673;60153;privat;;;
2026-11-15;60153;60177;privat;;;
2026-11-16;60177;60237;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-11-19;60237;60299;privat;;;
2026-11-20;60299;60394;privat;;;
2026-11-21;60394;60449;privat;;;
2026-11-24;60449;60639;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-11-28;60639;60667;privat;;;
2026-11-29;60667;60807;privat;;;
2026-11-30;60807;61047;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-12-03;61047;61059;privat;;;
2026-12-04;61059;61379;privat;;;
2026-12-05;61379;61425;privat;;;
2026-12-07;61425;61465;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-12-10;61465;61483;privat;;;
2026-12-11;61483;61693;privat;;;
2026-12-16;61693;61783;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-12-17;61783;61858;privat;;;
2026-12-18;61858;61891;privat;;;
2026-12-19;61891;62371;privat;;;
2026-12-22;62371;62581;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-12-24;62581;62605;privat;;;
2026-12-26;62605;62667;privat;;;
2026-12-27;62667;62762;privat;;;
2026-12-28;62762;62807;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
